date,title,source,link,category,tier,companies,summary_1,summary_2,summary_3,popularity_signal
2026-02-25,Ampere and Basquevolt sign joint development agreement to accelerate lithium metal-based battery technology for next-generation electric vehicles,Batteries News,https://news.google.com/rss/articles/CBMiggJBVV95cUxPeUgyMkdGUWpaR3Q2T1k4NlkxY20tR255QXYzV1E0bkJOMm9vb2dERzBXT1pkeUNBbkJvcEhIWVFib3V0V25aeUk0b2JXU3pZcTFXcHpPTURkR0ZncEwwTTlZS0lnYVBZa3ZmMzBQNDcxZ0lrQVRqVG5CVi1EWDNMbVg0dUtnclFtbVJFU1loOGp2YzJMQS1SdGxxeVR1Vlp6S3l4bjhEa0dBbmpCWUZZX2o3ajE1M25xQW00RWZnV3QyeWx1R2h5TGlHb3JJOWtHVlNNMGlfa2JyTHYyT2VtMDUtZHk2YmkzcktENWdtZGwwLXJtQU9kNGdZYWF0TXM1Mmc?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxPeUgyMkdGUWpaR3Q2T1k4NlkxY20tR255QXYzV1E0bkJOMm9vb2dERzBXT1pkeUNBbkJvcEhIWVFib3V0V25aeUk0b2JXU3pZcTFXcHpPTURkR0ZncEwwTTlZS0lnYVBZa3ZmMzBQNDcxZ0lrQVRqVG5CVi1EWDNMbVg0dUtnclFtbVJFU1loOGp2YzJMQS1SdGxxeVR1Vlp6S3l4bjhEa0dBbmpCWUZZX2o3ajE1M25xQW00RWZnV3QyeWx1R2h5TGlHb3JJOWtHVlNNMGlfa2JyTHYyT2VtMDUtZHk2YmkzcktENWdtZGwwLXJtQU9kNGdZYWF0TXM1Mmc?oc=5"" target=""_blank"">Ampere and Basquevolt sign joint development agreement to accelerate lithium metal-based battery technology for next-generation electric vehicles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Batteries News</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Batteries News 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,SK On inks lithium purchase agreement with POSCO,Yonhap News Agency,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5sQXo0ZDRvNjZucGlyNHBIZGpUdDhZWUhqY1Rnd192ejg3SzlHa3ZGRUpMaS1tQkUwRnBJS0RqeTRUTDhNS3F0aDRrU3VhSHBiWTRvOUJOSjI4UQ?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE5sQXo0ZDRvNjZucGlyNHBIZGpUdDhZWUhqY1Rnd192ejg3SzlHa3ZGRUpMaS1tQkUwRnBJS0RqeTRUTDhNS3F0aDRrU3VhSHBiWTRvOUJOSjI4UQ?oc=5"" target=""_blank"">SK On inks lithium purchase agreement with POSCO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yonhap News Agency</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Yonhap News Agency 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Statkraft signs contract with OX2 to optimize large-scale batteries in Finland,The Manila Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPTG9KM1J5N1hZSzFxTWNXc0x1R0IwVzdxdUMzSXhpanFIYktHLTd0NFI0aVZqdl80dVVZVGNoMXJybWNoRm10ODkwRGtkMEZJUzdLVGY3SEtldlEtWFZfZnc1UzgxU3NHZWxpOTk1OExrdXFBVFJab3M1bnhIQmtIR1FsV2FURlYxOFBVQl93M0JCMXExMmYzY20wM0laV051eUl4UUxLcWs4cEw0aWN1d2tnR04tSXZldG00eFB6SFF5V283eHAwU1p5WE1DTHpPa2ZvU3JleHRIbWd3M3VLT1NjYm0zZ0HSAewBQVVfeXFMUDdzMnkwUl94MXlNN05JZUhLUERaWmQtQ0tIMHpHeE9YWTBJN0NuVVlQUzY3eXRmdDFxSk9haEpqVV9MNU85MTFWYUVqa253SU44dHRwSXR3b2xJN2tSMnVPSU1JcG1YWF9zOWVWaUd0dEVCdGRBZEdlTzJ6ZXJVVjhubUFLVV84V043c1BseU1XZEpHS0VRemtwX0tra1BSMlk2MUlHX2tGZHpxblNGNXRBVGx4cFNGbFEwOEZ3RTRQdzRRTTBRZFQ1N29Sb1JMTUU4RHZYNnVmcmtWTUtUY2Jza250QWRYMXpPQzc?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPTG9KM1J5N1hZSzFxTWNXc0x1R0IwVzdxdUMzSXhpanFIYktHLTd0NFI0aVZqdl80dVVZVGNoMXJybWNoRm10ODkwRGtkMEZJUzdLVGY3SEtldlEtWFZfZnc1UzgxU3NHZWxpOTk1OExrdXFBVFJab3M1bnhIQmtIR1FsV2FURlYxOFBVQl93M0JCMXExMmYzY20wM0laV051eUl4UUxLcWs4cEw0aWN1d2tnR04tSXZldG00eFB6SFF5V283eHAwU1p5WE1DTHpPa2ZvU3JleHRIbWd3M3VLT1NjYm0zZ0HSAewBQVVfeXFMUDdzMnkwUl94MXlNN05JZUhLUERaWmQtQ0tIMHpHeE9YWTBJN0NuVVlQUzY3eXRmdDFxSk9haEpqVV9MNU85MTFWYUVqa253SU44dHRwSXR3b2xJN2tSMnVPSU1JcG1YWF9zOWVWaUd0dEVCdGRBZEdlTzJ6ZXJVVjhubUFLVV84V043c1BseU1XZEpHS0VRemtwX0tra1BSMlk2MUlHX2tGZHpxblNGNXRBVGx4cFNGbFEwOEZ3RTRQdzRRTTBRZFQ1N29Sb1JMTUU4RHZYNnVmcmtWTUtUY2Jza250QWRYMXpPQzc?oc=5"" target=""_blank"">Statkraft signs contract with OX2 to optimize large-scale batteries in Finland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Manila Times</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,The Manila Times 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Leaving water in batteries nearly doubles energy storage,New Atlas,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5NcjMtRmlxemIyZnFqNUlEVnNRd1p5MWZVZ0RvSDNxR00weVNDNlVOU2x0cG1TazZkQXRwZjVSSnhoTDVjNXE1MzhxdjlYaEU3S2dVVE0xeTBUWWU1akNwR01KQUdBQQ?oc=5,기타,3,,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5NcjMtRmlxemIyZnFqNUlEVnNRd1p5MWZVZ0RvSDNxR00weVNDNlVOU2x0cG1TazZkQXRwZjVSSnhoTDVjNXE1MzhxdjlYaEU3S2dVVE0xeTBUWWU1akNwR01KQUdBQQ?oc=5"" target=""_blank"">Leaving water in batteries nearly doubles energy storage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New Atlas</font>",해당 이슈는 기타 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,New Atlas 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,This California Company Thinks It Can Crack Solid-State Battery Tech For Good,RideApart.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNdnhIVlhFLVpNVUFXOU9sUWItZHNMSEZ6eHE4WHFlSHg2Qm5RV2VmZVVrWUdDLXpKa0xfZ3NTU2gtYWNQOHVuOUpXUUd6ZTBkcnNWdmt6MEkwTEZDMGYtUVlkdFFfOG43NG5HRTlORnh3bjViaGRTd2MtSnRMc0piM2E4bWp5Vl82VlVvR1lQOFVYQlplUTNIcFF3?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNdnhIVlhFLVpNVUFXOU9sUWItZHNMSEZ6eHE4WHFlSHg2Qm5RV2VmZVVrWUdDLXpKa0xfZ3NTU2gtYWNQOHVuOUpXUUd6ZTBkcnNWdmt6MEkwTEZDMGYtUVlkdFFfOG43NG5HRTlORnh3bjViaGRTd2MtSnRMc0piM2E4bWp5Vl82VlVvR1lQOFVYQlplUTNIcFF3?oc=5"" target=""_blank"">This California Company Thinks It Can Crack Solid-State Battery Tech For Good</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RideApart.com</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,RideApart.com 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Solid-State Battery Hits 80% in 4.5 Minutes in Independent Test,Autoblog,https://news.google.com/rss/articles/CBMilwFBVV95cUxOcGIzMFdkUm5aYkZBdVVYcFd2Uld0amVVWHVsZHEtMnRqV1Vvcmc4aHpWTGdUYS00R2lhTWV3OHJ5bi1RU3FfVkVSUnFybXpjRHl5N1cxVDVLam1lcGM0RER1aDRBSjk0c2NFcTl3NG1rdzRHQWhKUWt4eFBZMnJqNEZkWDJkVDlJOTJQY1YxNmNnbzN1Mi1J?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOcGIzMFdkUm5aYkZBdVVYcFd2Uld0amVVWHVsZHEtMnRqV1Vvcmc4aHpWTGdUYS00R2lhTWV3OHJ5bi1RU3FfVkVSUnFybXpjRHl5N1cxVDVLam1lcGM0RER1aDRBSjk0c2NFcTl3NG1rdzRHQWhKUWt4eFBZMnJqNEZkWDJkVDlJOTJQY1YxNmNnbzN1Mi1J?oc=5"" target=""_blank"">Solid-State Battery Hits 80% in 4.5 Minutes in Independent Test</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Autoblog</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Autoblog 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,FuturGen Insight – Recycling electric vehicle batteries: a strategic priority for Europe and the industry,renaultgroup.com,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQalR6Z1RlOEFUUVozTFl2M2tLLS1DbFRhWnkyU2w5LThrWWdmeVBvNkNYNVZNUE9VTkxrbEU3QWxZZVY1Y2VhY1EyOHVaa25HdTcwS1ExNFg0S1pydWFzR3dhOVRqYzQ4VmJsOVN0RW1VT1hGWGh3UEhPTEpzTW1RRkVrREl5YTZ4b00zQVZfaGVWY2ZLbG5DcVBsTDNwWW55NWtDLVowV09SZEZKQmZhSHdMQ3JDVFFSMml0UEJEQXpoMFRCemlEYkNPYlJ1NFR2blR0VnlvdFJodzNZUTFTeWkxLUVodHBucHV4OUZRTHhPWGxWbWtCck1zcWs?oc=5,재활용,3,,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQalR6Z1RlOEFUUVozTFl2M2tLLS1DbFRhWnkyU2w5LThrWWdmeVBvNkNYNVZNUE9VTkxrbEU3QWxZZVY1Y2VhY1EyOHVaa25HdTcwS1ExNFg0S1pydWFzR3dhOVRqYzQ4VmJsOVN0RW1VT1hGWGh3UEhPTEpzTW1RRkVrREl5YTZ4b00zQVZfaGVWY2ZLbG5DcVBsTDNwWW55NWtDLVowV09SZEZKQmZhSHdMQ3JDVFFSMml0UEJEQXpoMFRCemlEYkNPYlJ1NFR2blR0VnlvdFJodzNZUTFTeWkxLUVodHBucHV4OUZRTHhPWGxWbWtCck1zcWs?oc=5"" target=""_blank"">FuturGen Insight – Recycling electric vehicle batteries: a strategic priority for Europe and the industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">renaultgroup.com</font>",해당 이슈는 재활용 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,renaultgroup.com 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,VTT testing validates five-minute charging for Donut Lab solid-state battery,Electric & Hybrid Vehicle Technology International,https://news.google.com/rss/articles/CBMizwFBVV95cUxOLTlvYXY5X3prREJPZV84VVAxYkJxNktfZ19sZVluUnVwbnVpSmE3NmZjRDNGMXpfckpmbDhmMGV1SXBsc2pDbEc1WHZYOUhOSGI5dVBfRXZTcHlqQ25XVndNTWt0dVVWVlRvbUhUalc3em9pTHZmWUc1QVctcVlnbmplWlhRbmo2NHRZc05hekhhVWZMdEdFZHZFa3ptNE9oRC1yZHRkWmxTNlRaZkYzVWlIa21STE1ULTFnVFpnYkpBMnFZWFR2WV9sRTF5NU0?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOLTlvYXY5X3prREJPZV84VVAxYkJxNktfZ19sZVluUnVwbnVpSmE3NmZjRDNGMXpfckpmbDhmMGV1SXBsc2pDbEc1WHZYOUhOSGI5dVBfRXZTcHlqQ25XVndNTWt0dVVWVlRvbUhUalc3em9pTHZmWUc1QVctcVlnbmplWlhRbmo2NHRZc05hekhhVWZMdEdFZHZFa3ptNE9oRC1yZHRkWmxTNlRaZkYzVWlIa21STE1ULTFnVFpnYkpBMnFZWFR2WV9sRTF5NU0?oc=5"" target=""_blank"">VTT testing validates five-minute charging for Donut Lab solid-state battery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Electric & Hybrid Vehicle Technology International</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Electric & Hybrid Vehicle Technology International 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Solid-state Batteries: A New Trillion-Dollar Direction for New Energy Batteries,36 Kr,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5wMkdNa01HU2txZkFfWUo2cndockU1OUdFR0tLTGlwUlRMVlBudTNrZXFQZko1aVVHOHdRWkdhZURfbGNZcDlTaklNVjBod3p1TWxF?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMiU0FVX3lxTE5wMkdNa01HU2txZkFfWUo2cndockU1OUdFR0tLTGlwUlRMVlBudTNrZXFQZko1aVVHOHdRWkdhZURfbGNZcDlTaklNVjBod3p1TWxF?oc=5"" target=""_blank"">Solid-state Batteries: A New Trillion-Dollar Direction for New Energy Batteries</a>&nbsp;&nbsp;<font color=""#6f6f6f"">36 Kr</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,36 Kr 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Donut Lab’s Solid-State Battery Cells Charge from Dead in Roughly Five Minutes,Hagerty,https://news.google.com/rss/articles/CBMiswFBVV95cUxQOENyY1FkeDRpcFdSRGZtNWQtNGh3Ml9INHRhTE9rcFlVQjVmQTR3TC1faUFwUlB0dUp4Uk40a2l6UVROSGV0a0xkam1waFlhbnlRN01NVFdTMDdNb1c5eU1Ca3Z6dWRFdUhmOVZPSDVVRlFjbHNxVzEwdUtoWktKdXptRzJ3c3llQWJuSk1GN0VydzM1R2N4YjRkSDJKdWJnckUyeUg3NTkyNmtiMlhEYUI3QQ?oc=5,전고체,3,,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQOENyY1FkeDRpcFdSRGZtNWQtNGh3Ml9INHRhTE9rcFlVQjVmQTR3TC1faUFwUlB0dUp4Uk40a2l6UVROSGV0a0xkam1waFlhbnlRN01NVFdTMDdNb1c5eU1Ca3Z6dWRFdUhmOVZPSDVVRlFjbHNxVzEwdUtoWktKdXptRzJ3c3llQWJuSk1GN0VydzM1R2N4YjRkSDJKdWJnckUyeUg3NTkyNmtiMlhEYUI3QQ?oc=5"" target=""_blank"">Donut Lab’s Solid-State Battery Cells Charge from Dead in Roughly Five Minutes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hagerty</font>",해당 이슈는 전고체 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Hagerty 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
2026-02-25,Clean the Sky - Battery Recycling Strategies,Trend Hunter,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5jVUd5eXBsOFpZZjNzdGZOQ0hENkNZUUczWEVRNk52VFJpZDdJNG5TOTN1ZF9RVnFQc1N1R3dqajhWVms3ejhkdmx5bDVmSXU4a013ekpMRHNBYmhZSi1NWkRWYnQxbFE?oc=5,재활용,3,,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5jVUd5eXBsOFpZZjNzdGZOQ0hENkNZUUczWEVRNk52VFJpZDdJNG5TOTN1ZF9RVnFQc1N1R3dqajhWVms3ejhkdmx5bDVmSXU4a013ekpMRHNBYmhZSi1NWkRWYnQxbFE?oc=5"" target=""_blank"">Clean the Sky - Battery Recycling Strategies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trend Hunter</font>",해당 이슈는 재활용 분야 관점에서 영향/파급을 점검할 필요가 있습니다.,Trend Hunter 보도를 바탕으로 핵심 내용을 확인했습니다.,unknown
